epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,5893.26,0.78865,0.56965,0.89418,0.9537,0.9439,0.97843,0.76252,0.77226,0.5403,0.87258,0.00120731,0.00120731,0.00120731
71,5986.14,0.80829,0.59194,0.90983,0.97533,0.95754,0.98736,0.76836,0.76628,0.51065,0.87014,0.00120669,0.00120669,0.00120669
72,6079.4,0.79962,0.5676,0.91541,0.93252,0.8984,0.97628,0.75468,0.76265,0.55778,0.87001,0.00120607,0.00120607,0.00120607
73,6168.48,0.80905,0.58067,0.90467,0.87331,0.93736,0.96935,0.76439,0.74648,0.57408,0.86225,0.00120545,0.00120545,0.00120545
74,6248.87,0.78218,0.56454,0.89636,0.95314,0.96046,0.98273,0.78363,0.73339,0.49332,0.86204,0.00120483,0.00120483,0.00120483
75,6329.38,0.80418,0.59122,0.91228,0.97817,0.95465,0.97885,0.79381,0.73401,0.48926,0.86038,0.00120421,0.00120421,0.00120421
76,6409.78,0.79703,0.56873,0.91393,0.95583,0.94661,0.98269,0.77234,0.77646,0.52488,0.86874,0.00120359,0.00120359,0.00120359
77,6490.11,0.77076,0.57522,0.90263,0.93779,0.93476,0.9798,0.76559,0.77605,0.52101,0.86689,0.00120298,0.00120298,0.00120298
78,6570.9,0.77788,0.54467,0.90477,0.96542,0.94075,0.9721,0.76243,0.7695,0.5251,0.8567,0.00120236,0.00120236,0.00120236
79,6651.64,0.77972,0.5636,0.90165,0.94558,0.95015,0.97329,0.78512,0.73878,0.48967,0.85824,0.00120174,0.00120174,0.00120174
80,6732.13,0.79297,0.56092,0.90781,0.94539,0.93986,0.97508,0.78835,0.75413,0.50353,0.86543,0.00120112,0.00120112,0.00120112
81,6812.67,0.80098,0.56793,0.90707,0.95619,0.93203,0.97212,0.78228,0.7639,0.52484,0.87148,0.0012005,0.0012005,0.0012005
82,6893.43,0.78645,0.56595,0.89824,0.94208,0.9325,0.9762,0.78033,0.73807,0.5176,0.86501,0.00119988,0.00119988,0.00119988
83,6974.2,0.77107,0.55629,0.90082,0.95674,0.93871,0.97976,0.78306,0.75504,0.52262,0.86781,0.00119926,0.00119926,0.00119926
84,7055.12,0.80514,0.56539,0.89141,0.94571,0.96066,0.98054,0.76226,0.78188,0.50116,0.8782,0.00119864,0.00119864,0.00119864
85,7135.99,0.79319,0.55384,0.90116,0.95843,0.93555,0.97582,0.77555,0.76307,0.49144,0.86922,0.00119802,0.00119802,0.00119802
86,7217.22,0.78284,0.55356,0.90067,0.95034,0.9305,0.97255,0.76937,0.75801,0.5214,0.86766,0.00119741,0.00119741,0.00119741
87,7297.79,0.78605,0.58636,0.9237,0.96993,0.9589,0.9875,0.78354,0.75325,0.50714,0.86327,0.00119679,0.00119679,0.00119679
88,7378.64,0.77612,0.54764,0.90799,0.9466,0.97095,0.98814,0.7773,0.74237,0.48198,0.86471,0.00119617,0.00119617,0.00119617
89,7459.3,0.78112,0.55725,0.89784,0.94497,0.94039,0.97338,0.76265,0.77221,0.55705,0.8711,0.00119555,0.00119555,0.00119555
90,7539.94,0.72425,0.53069,0.88042,0.94764,0.94564,0.97676,0.78866,0.73739,0.50007,0.86485,0.00119493,0.00119493,0.00119493
91,7620.62,0.75778,0.55625,0.90607,0.90776,0.9614,0.96864,0.79062,0.73965,0.49382,0.86696,0.00119431,0.00119431,0.00119431
92,7701.43,0.77426,0.5467,0.89892,0.93159,0.95427,0.97421,0.76421,0.74356,0.48477,0.86768,0.00119369,0.00119369,0.00119369
93,7782.43,0.77319,0.55454,0.88959,0.96264,0.95334,0.97606,0.76858,0.75923,0.50723,0.87286,0.00119308,0.00119308,0.00119308
94,7863.78,0.76062,0.54263,0.89472,0.93534,0.96587,0.9711,0.76689,0.77236,0.51232,0.87147,0.00119246,0.00119246,0.00119246
95,7945.1,0.76617,0.53087,0.89082,0.947,0.97289,0.98488,0.77256,0.78909,0.48923,0.87923,0.00119184,0.00119184,0.00119184
96,8026.07,0.76663,0.53369,0.89904,0.95049,0.97195,0.98778,0.78062,0.74654,0.45725,0.86239,0.00119122,0.00119122,0.00119122
97,8106.94,0.76073,0.52769,0.88876,0.94214,0.94304,0.9802,0.76614,0.76627,0.48862,0.87147,0.0011906,0.0011906,0.0011906
98,8188.66,0.75265,0.52934,0.88525,0.95308,0.93598,0.97794,0.76752,0.78096,0.48874,0.8771,0.00118998,0.00118998,0.00118998
99,8269.65,0.74112,0.53424,0.89618,0.97142,0.9455,0.97969,0.76457,0.75471,0.47533,0.86329,0.00118936,0.00118936,0.00118936
100,8350.85,0.72989,0.51213,0.87903,0.96715,0.96113,0.98462,0.77933,0.73653,0.46633,0.85514,0.00118874,0.00118874,0.00118874
101,8431.81,0.74926,0.53268,0.89308,0.97177,0.94512,0.98157,0.7823,0.74157,0.4794,0.85537,0.00118812,0.00118812,0.00118812
102,8513.21,0.7458,0.52278,0.89435,0.95075,0.9673,0.98463,0.78376,0.72885,0.47353,0.86363,0.00118751,0.00118751,0.00118751
103,8594.22,0.74381,0.52545,0.90672,0.96746,0.98349,0.99011,0.79414,0.742,0.45094,0.87443,0.00118689,0.00118689,0.00118689
