epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,108.175,0.77138,0.59563,0.88729,0.95448,0.95626,0.98858,0.77035,0.78659,0.53034,0.85674,0.00108913,0.00108913,0.00108913
67,109.777,0.76968,0.59429,0.88734,0.93983,0.93634,0.97321,0.75531,0.77781,0.51691,0.858,0.00108665,0.00108665,0.00108665
68,111.476,0.76418,0.5735,0.90056,0.96088,0.94076,0.97909,0.78233,0.75129,0.49749,0.84518,0.00108417,0.00108417,0.00108417
69,113.063,0.79196,0.57012,0.8858,0.96082,0.96134,0.98677,0.77659,0.75065,0.49197,0.84075,0.0010817,0.0010817,0.0010817
70,114.682,0.78808,0.57407,0.89619,0.98018,0.95489,0.98407,0.78068,0.73433,0.47462,0.84755,0.00107923,0.00107923,0.00107923
71,116.253,0.80297,0.58165,0.9056,0.98683,0.96807,0.98719,0.7666,0.78389,0.47569,0.86081,0.00107675,0.00107675,0.00107675
72,117.817,0.78462,0.56449,0.89371,0.96029,0.97939,0.99097,0.76717,0.78994,0.47295,0.86099,0.00107427,0.00107427,0.00107427
73,119.371,0.79079,0.56478,0.89464,0.98087,0.97528,0.99027,0.78585,0.73924,0.45467,0.85159,0.0010718,0.0010718,0.0010718
74,121.015,0.77067,0.5398,0.87837,0.96093,0.9587,0.97423,0.78865,0.75208,0.49164,0.85146,0.00106933,0.00106933,0.00106933
75,122.626,0.76909,0.56376,0.889,0.95145,0.96527,0.98508,0.77291,0.76729,0.50468,0.85788,0.00106685,0.00106685,0.00106685
76,124.225,0.78439,0.55595,0.88991,0.97424,0.97423,0.98462,0.78625,0.73553,0.47057,0.85242,0.00106437,0.00106437,0.00106437
77,125.801,0.78523,0.55943,0.88732,0.97227,0.97928,0.98883,0.77713,0.74577,0.46224,0.85145,0.0010619,0.0010619,0.0010619
78,127.403,0.81562,0.54733,0.89201,0.94143,0.97503,0.98209,0.77864,0.75308,0.46583,0.85378,0.00105942,0.00105942,0.00105942
